,Date,Open,High,Low,Close,Adj Close,Volume,NSE,SPY,DJ,NASDAQ,pcod,hld,rsi,bbul,bbll,stma,ltma,ema,scul,scll,stma_cut_ltma_b,stma_pr_cut_ltma_a,close_pr_cut_stma_b,close_pr_cut_stma_a,close_pr_cut_ltma_b,close_pr_cut_ltma_a,dr_stock,dr_nse,dr_spy,dr_dj,dr_nasdaq,vwap,price_movmnt,beta,ds,TS_close_pr
312,2015-11-09,2394.800049,2430.0,2382.550049,2409.100098,2305.123779,157878.0,7915.200195,2078.580078,17730.480469,5095.299805,-34.64990200000011,47.449951000000056,19.471914282151857,2624.296,2371.689,2451.8899902000003,2497.992480399999,2463.7603176425955,0,0,0,0,0,0,0,0,-0.00837626950032233,-0.004915531342610691,-0.009822729364192928,-0.010041669149409849,-0.010067826439264072,2409.1,0.0,1.704,2015-11-09,2453.0892395643727
313,2015-11-10,2401.0,2475.0,2381.649902,2457.449951,2351.386963,273391.0,7783.350098000001,2081.719971,17758.210938,5083.240234000001,-8.100097999999889,93.35009799999989,30.174873109201627,2622.055,2367.769,2442.5899902,2494.912475499999,2463.159330343301,0,0,0,0,1,0,0,0,0.02006971791339973,-0.016657834767500712,0.0015105951573544107,0.001563999861621701,-0.0023668030266177364,2457.45,1.0,-1.2048,2015-11-10,2448.1163818539453
314,2015-11-11,2401.0,2475.0,2381.649902,2457.449951,2351.386963,273391.0,7783.350098000001,2075.0,17702.220703,5067.02002,-56.449951000000056,93.35009799999989,31.345988042170347,2619.497,2364.168,2433.2899902,2491.8324705999994,2462.6155799296534,0,0,0,0,0,0,0,0,0.0,0.0,-0.0032280859546982565,-0.003152920933053527,-0.0031909202109925427,2457.45,1.0,,2015-11-11,2444.6159327035157
315,2015-11-12,2401.0,2475.0,2381.649902,2457.449951,2351.386963,273391.0,7783.350098000001,2045.969971,17448.070313,5005.080078,-56.449951000000056,93.35009799999989,29.744759709129013,2616.954,2360.891,2435.7699951,2488.9224730499996,2462.1236152696865,0,0,0,0,0,0,0,0,0.0,0.0,-0.013990375421686796,-0.014356977820129013,-0.012224136031734112,2457.45,1.0,,2015-11-12,2443.0827699090914
316,2015-11-13,2440.0,2470.0,2367.050049,2380.449951,2277.710205,255389.0,7762.25,2023.040039,17245.240234,4927.879883,-17.449951000000056,102.94995100000006,25.43349122084021,2618.274,2346.051,2431.3599852999996,2482.1624755,2454.345171053526,0,0,0,0,0,1,0,0,-0.031333319083303945,-0.002710927522767137,-0.01120736488072338,-0.01162478574200132,-0.01542436760189636,2380.45,0.0,11.5582,2015-11-13,2441.903549688172
317,2015-11-14,2440.0,2470.0,2367.050049,2380.449951,2277.710205,255389.0,7762.25,2023.040039,17245.240234,4927.879883,59.550048999999944,102.94995100000006,25.43349122084021,2617.796,2333.009,2424.4999754999994,2475.40247795,2447.3075310484282,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2380.45,1.0,,2015-11-14,2439.1888689937896
318,2015-11-15,2440.0,2470.0,2367.050049,2380.449951,2277.710205,255389.0,7762.25,2023.040039,17245.240234,4927.879883,59.550048999999944,102.94995100000006,25.43349122084021,2605.857,2325.433,2421.114965699999,2465.6449706,2440.9401424723874,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2380.45,1.0,,2015-11-15,2436.9574040689463
319,2015-11-16,2374.0,2408.850098,2344.149902,2372.600098,2270.199219,285955.0,7806.600098000001,2053.189941,17483.009766,4984.620117,-6.4499510000000555,64.70019599999978,37.28024178879842,2589.935,2320.4,2415.4299803999993,2455.1674804000004,2434.4315668083505,0,0,0,0,0,0,0,0,-0.0032976038758186776,0.005713562175915676,0.01490326509548634,0.013787545361718001,0.011514126834897276,2372.6,0.0,-0.5772,2015-11-16,2435.078106687268
320,2015-11-17,2384.0,2417.800049,2355.0,2365.300049,2263.214111,254396.0,7837.549805,2050.439941,17489.5,4986.02002,11.399902000000111,62.800048999999944,37.4069875852239,2573.847,2315.978,2409.0149901999994,2444.9124877500003,2427.8476127313647,0,0,0,0,0,0,0,0,-0.0030768700568389873,0.00396455647932159,-0.0013393792484004408,0.0003712309314511941,0.0002808444710209468,2365.3,0.0,-0.7761,2015-11-17,2433.64232509901
321,2015-11-18,2369.0,2384.25,2336.5,2342.899902,2241.7807620000003,245945.0,7731.799805,2083.580078,17737.160156,5075.200195,3.6999510000000555,47.75,27.235620166492538,2553.803,2312.582,2400.3599852999996,2433.1924804,2419.7573545664727,0,0,0,0,0,0,0,0,-0.00947031431795431,-0.013492737224143236,0.01616245193889343,0.014160505217416297,0.017886044308341953,2342.9,0.0,0.7019,2015-11-18,2433.715619253439
