date,open,high,low,close,adj close,volume,vwap,nse,spy,dj,nasdaq,pcod,hld,rsi,bbul,bbll,stma,ltma,ema,scul,scll,stma_cut_ltma_b,stma_cut_ltma_a,close_pr_cut_stma_b,close_pr_cut_stma_a,close_pr_cut_ltma_b,close_pr_cut_ltma_a,dr_stock,dr_nse,dr_spy,dr_dj,dr_nasdaq,price_movmnt,beta,ds,ts_close_pr,day_of_week,le_day_of_week,close_-1_s,tr,atr,wr_10,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,close_12_ema,close_26_ema,macd,macds,macdh
2015-03-02,154.199997,157.399994,153.5,156.550003,152.753311,4452819,155.52,8844.599609,2104.5,18132.699219,4963.529785,-0.9499969999999962,3.8999939999999924,67.79303470415611,158.688,144.352,151.51999969999994,155.14458325833328,151.91559000451085,0,0,0,0,0,0,1,0,0.009023599893182466,0.018511375396621066,-0.0029563044380468417,-0.004486593772953351,-0.0048838990697279705,1.0,0.49,2015-03-02,140.00948220102376,Monday,1,155.149994,3.8999939999999924,5.351303418176012,38.043469990549994,61.956530009450006,49.10516956407839,49.10516956407839,49.1852141532831,49.1852141532831,48.94508038566897,48.94508038566897,153.15018093184278,151.43671383901219,1.713467092830598,1.245237987696452,0.9364582102682917
2015-03-03,157.5,159.300003,156.149994,158.699997,154.851181,3718817,158.04,8956.75,2117.389893,18288.630859,5008.100098,0.9499969999999962,3.1500090000000114,65.3014765848562,159.407,144.978,152.19249954999995,155.00999984999996,152.56172400408124,0,0,0,0,0,0,0,0,0.013733712128832343,0.012680098134219442,0.006124919458303735,0.008599472043114842,0.00897955989600252,1.0,1.08,2015-03-03,139.8547081642235,Tuesday,3,156.550003,3.1500090000000114,5.194068102592012,22.463806710766708,77.5361932892333,58.58217747246335,58.58217747246335,52.31753525967651,52.31753525967651,71.11146189803704,71.11146189803704,154.00399878848236,151.97473481390017,2.029263974582193,1.4020431850736004,1.2544415790171852
2015-03-04,160.0,160.0,152.300003,153.100006,149.386993,5559004,154.47,8996.25,2107.780029,18203.369141,4979.899902,1.3000030000000038,7.699996999999996,56.87694957378587,159.22,145.83,152.52499999999995,154.82666651666662,152.6129889560735,0,0,0,0,0,0,0,1,-0.03528670536907308,0.004410081781896391,-0.004538542491286046,-0.0046620066125968584,-0.005630917004087355,0.0,-8.0,2015-03-04,140.2843735231365,Wednesday,4,158.699997,7.699996999999996,5.3730630238354395,63.04344281664282,36.956557183357184,51.37363737609462,51.37363737609462,52.00290263181588,52.00290263181588,50.115106864652105,50.115106864652105,153.8649229748697,152.05808823509275,1.8068347397769458,1.4830014960142697,0.6476664875253522
2015-03-05,153.050003,154.0,146.899994,148.100006,144.508255,8404364,149.57,8922.650391,2098.530029,18096.900391,4967.140136999999,-0.050003000000003794,7.100006000000008,45.46414710516632,159.292,145.328,152.31000059999997,154.6483332333333,152.18318105549508,0,0,0,0,0,1,0,0,-0.032658385459301664,-0.008181143142976355,-0.004388503483633732,-0.005848848593648426,-0.0025622533085205568,0.0,3.99,2015-03-05,140.6458428011123,Thursday,2,153.100006,7.100006000000008,5.49641609356148,91.94623305261082,8.053766947389187,36.93368056652614,36.93368056652614,46.97982861005263,46.97982861005263,16.841384479473177,16.841384479473177,152.97801267104362,151.76489695841923,1.2131157126243863,1.4290243393362931,-0.4318172534238136
2015-03-09,149.399994,149.850006,140.0,140.800003,137.3853,8031261,143.15,8937.75,2071.26001,17856.779297,4927.370117,1.2999879999999848,9.850006000000008,42.80039807741036,160.448,143.447,151.94750059999996,154.42416661666664,151.09906885973365,0,1,0,0,0,0,0,0,-0.04929099033131357,0.0016922784529618262,-0.012994819527550328,-0.013268631025864286,-0.008006623309005145,0.0,-29.13,2015-03-09,140.77364228391815,Monday,1,148.100006,9.850006000000008,5.807386801164233,96.3302619728997,4.000015000000019,25.95579204435077,25.95579204435077,39.97181642148534,39.97181642148534,-2.0762567099183826,-2.0762567099183826,151.1044727216523,150.95268259112893,0.15179013052335222,1.173577497573705,-2.0435747341007056
2015-03-10,142.600006,142.600006,136.649994,138.050003,134.70198100000002,6588296,139.13,8756.75,2079.429932,17995.720703,4942.439941,1.8000030000000038,5.950012000000015,41.16523501449073,161.852,141.118,151.48500059999998,154.12916666666663,149.85630068261614,0,1,0,0,0,0,0,0,-0.019531339961407657,-0.02025118178512486,0.003944421251101282,0.007780877149741183,0.0030583909148627075,0.0,0.96,2015-03-10,140.5087979970615,Tuesday,3,140.800003,5.950012000000015,5.817574315366789,94.00424565201392,5.9957543479860815,19.30244614556254,19.30244614556254,33.08202632951107,33.08202632951107,-8.256714222334523,-8.256714222334523,149.096092764475,149.9969285473416,-0.9008357828666078,0.7586948414856424,-3.3190612487045
2015-03-11,138.850006,138.850006,127.199997,130.350006,127.188728,21561044,131.76,8712.049805,2044.160034,17662.939453,4859.790039,0.8000030000000038,11.650009000000011,36.34064402998428,164.59,136.76,150.67500074999998,153.7745834333333,147.9985583318908,0,1,0,0,0,0,0,0,-0.05577685602114513,-0.005104655836925764,-0.016961330342146863,-0.018492243544573572,-0.016722489901066284,0.0,10.93,2015-03-11,140.80685386922633,Wednesday,4,138.050003,11.650009000000011,6.234176792840591,90.39631490277604,9.603685097223957,16.069525796116345,16.069525796116345,27.411192818379497,27.411192818379497,-6.61380824840996,-6.61380824840996,146.2120794160942,148.54160095124223,-2.329521535148018,0.14105156615891015,-4.941146202613856
2015-03-12,131.75,135.699997,129.100006,134.899994,131.62837199999998,14242872,133.45,8699.950195,2040.2399899999998,17635.390625,4849.939941,1.3999939999999924,6.599990999999989,38.31699044037534,165.561,134.359,149.96000059999997,153.45791676666664,146.75107601456784,0,0,0,0,0,0,0,0,0.034905954873611034,-0.0013888361833120921,-0.0019176796017920106,-0.0015596966786476374,-0.0020268566997655446,1.0,-25.13,2015-03-12,141.01573187608352,Thursday,2,130.350006,6.599990999999989,6.260306379066263,76.52440153740231,23.475598462597688,18.538216684943457,18.538216684943457,24.453534107234148,24.453534107234148,6.707581840362074,6.707581840362074,144.47175858284893,147.5311115474465,-3.059352964597565,-0.4990293399923851,-5.12064724921036
2015-03-13,136.699997,136.75,131.050003,131.699997,128.50598100000002,6690050,133.58,8776.0,2065.949951,17895.220703,4893.290039,1.8000030000000038,5.699996999999996,35.76469547404598,166.663,131.442,149.05250014999996,153.11375007499998,145.31763991794233,0,0,0,0,0,0,0,0,-0.02372126124905627,0.008741406938594709,0.012601439598289632,0.014733446143895712,0.00893827522141688,0.0,-2.71,2015-03-13,140.7072820782433,Friday,0,134.899994,5.699996999999996,6.220284280561529,86.28048905971136,13.719510940288632,16.93198143672518,16.93198143672518,21.94634988373116,21.94634988373116,6.9032445427132245,6.9032445427132245,142.50687218548754,146.3584363957838,-3.85156421029626,-1.1695363140531603,-5.3640557924862
2015-03-16,131.0,131.399994,123.099998,126.800003,123.72481499999999,10785285,127.44,8647.75,2053.399902,17749.310547,4871.759765999999,-0.6999969999999962,8.299995999999993,30.213084381058124,167.86,127.645,147.75250014999997,152.76541671666664,143.55405544956687,0,1,0,0,0,0,0,0,-0.037205785775838884,-0.014613719234275346,-0.006074711051894166,-0.008153582368254142,-0.004399958479551103,0.0,2.55,2015-03-16,140.4265315945212,Monday,1,131.699997,8.599998999999997,6.390263903378563,89.97288672233675,10.027113277663249,14.630358717037868,14.630358717037868,19.50768616150006,19.50768616150006,4.875703828113487,4.875703828113487,140.0904307723356,144.90966355165165,-4.819232779316053,-1.899475607105739,-5.839514344420628
2015-03-17,128.0,134.75,126.800003,134.25,130.99414099999998,9699896,132.15,8633.150391,2081.189941,17977.419922,4929.509765999999,1.1999969999999962,7.949996999999996,36.67126478033922,167.565,126.01,146.78749999999997,152.52083333333331,142.6679549305605,0,0,0,0,0,0,0,0,0.05875398560911149,-0.0016882552108931081,0.013533671143615367,0.0128517315867549,0.011854032787707913,1.0,-34.8,2015-03-17,139.98484490780558,Tuesday,3,126.800003,7.949996999999996,6.501673410280095,69.78319404969137,30.216805950308622,19.82584112812812,19.82584112812812,19.613737817042747,19.613737817042747,20.25004775029886,20.25004775029886,139.19190296120703,144.1200588441219,-4.928155882914865,-2.5052116622675644,-4.845888441294601
2015-03-18,134.0,134.800003,131.800003,133.149994,129.920807,4154051,133.36,8723.299805,2074.280029,17849.080078,4937.430176,-0.25,3.0,37.44710276994581,167.435,124.36,145.89749984999997,152.29416656666663,141.76148246098333,0,0,0,0,0,0,0,0,-0.00819375578026793,0.010442238339086751,-0.003320173648677094,-0.007138946776391708,0.0016067338084264637,0.0,-0.78,2015-03-18,140.11522515116582,Wednesday,4,134.25,3.0,6.251553880974374,72.7642399585778,32.52425679454646,24.058646350267566,24.058646350267566,21.095373994784353,21.095373994784353,29.98519106123399,29.98519106123399,138.26237850563672,143.307461448261,-5.045082942624276,-3.013185918338907,-4.063794048570738
2015-03-19,134.0,136.199997,131.300003,132.300003,129.091446,4626972,134.21,8685.900391,2099.5,18076.189453,4982.830078,0.8500060000000076,4.899993999999992,36.382830152518146,167.108,122.752,144.93000029999996,152.05791664166662,140.86038917898492,0,0,0,0,0,0,0,0,-0.006383588734943824,-0.0042873012318761505,0.012158421547431297,0.012723870026216444,0.009195046893155423,0.0,1.49,2015-03-19,140.17254900818529,Thursday,2,133.149994,4.899993999999992,6.155013889476204,70.22652296268458,34.39253177045779,27.503274823664306,27.503274823664306,23.231340937744335,23.231340937744335,36.047142595504255,36.047142595504255,137.34508996630802,142.49209415579722,-5.147004189489195,-3.439949572568965,-3.4141092338404597
2015-03-20,132.149994,135.0,130.550003,132.050003,128.847488,4836454,132.75,8634.650391,2089.27002,17959.029297,4992.379883,-0.15000900000001138,4.449996999999996,31.859063738367354,165.938,121.502,143.72000044999996,151.79999999999998,140.02130478098636,0,0,0,0,0,0,0,0,-0.0018898076329549873,-0.005900366996276274,-0.00487257918552042,-0.006481463159291767,0.0019165423766231982,0.0,0.32,2015-03-20,139.7364980075411,Friday,0,132.300003,4.449996999999996,6.033226968799332,66.54204738929424,45.89744270874145,33.63466411869002,33.63466411869002,26.699115331392896,26.699115331392896,47.50576169328427,47.50576169328427,136.53046120226062,141.71860592203447,-5.188144719773845,-3.789588602009941,-2.797112235527808
2015-03-23,131.949997,136.800003,131.949997,135.899994,132.60411100000002,6306085,135.1,8570.900391,2108.100098,18127.650391,5026.419922,-0.10000600000000759,4.850006000000008,35.30247528272436,164.307,121.068,142.68749999999994,151.5633332583333,139.62879899232098,0,0,0,0,0,0,0,0,0.029155578104867796,-0.00738304356438646,0.009012754607946816,0.009389209807022514,0.006818399199931324,1.0,-3.95,2015-03-23,139.23044444127808,Monday,1,132.050003,4.850006000000008,5.948711185313666,34.35902180142701,81.26977459313028,49.51303427683677,49.51303427683677,34.303754979874185,34.303754979874185,79.93159287076193,79.93159287076193,136.43346624806668,141.2875976315134,-4.854131383446713,-4.002497158297296,-1.7032684502988342
2015-03-24,135.800003,135.899994,132.0,132.850006,129.628098,4386125,133.68,8550.900391,2104.419922,18116.039063,5010.970215,-0.09999099999998862,3.8999939999999924,34.63685992165411,162.837,120.338,141.58749999999995,151.31874999999997,138.983199659719,0,0,0,0,0,0,0,0,-0.022442841157466198,-0.0023334771246439345,-0.0017457311460168379,-0.0006405313291878434,-0.003073700017059533,0.0,9.62,2015-03-24,138.77868683030604,Tuesday,3,135.899994,3.8999939999999924,5.802374243505547,38.0952187452857,71.16791563214761,56.73132806194038,56.73132806194038,41.77961267389625,41.77961267389625,86.63475883802863,86.63475883802863,135.88216467144105,140.66259084399388,-4.780426172552836,-4.158082961148404,-1.244686422808865
2015-03-25,133.0,134.449997,132.350006,132.899994,129.67688,2895061,133.1,8542.950195,2091.5,18011.140625,4994.72998,0.1499939999999924,2.0999909999999886,35.273227130045626,161.341,119.759,140.54999999999995,151.11666666666665,138.40384673974575,0,0,0,0,0,0,0,0,0.000376322732128731,-0.0009297495744854389,-0.006139422015983054,-0.005790362762809642,-0.0032409362465148916,1.0,-0.4,2015-03-25,138.92716004518218,Wednesday,4,132.850006,2.0999909999999886,5.537918297540863,28.467208588610077,71.53279141138992,61.66514917842356,61.66514917842356,48.40812484207202,48.40812484207202,88.17919785112663,88.17919785112663,135.42336918352703,140.08758367036472,-4.664214486837693,-4.2593092662862615,-0.8098104411028633
2015-03-26,132.399994,133.399994,128.550003,129.550003,126.40812700000001,7955596,130.34,8530.799805,2061.050049,17718.539063,4876.52002,-0.5,4.849990999999989,33.67207357005961,159.728,118.962,139.34500044999996,150.89541664166663,137.56062352643661,0,0,0,0,0,0,0,0,-0.025206906581959787,-0.0014222709629174712,-0.014558905570164926,-0.01624558755561878,-0.023666937046314618,0.0,17.72,2015-03-26,139.03633335682522,Thursday,2,132.899994,4.849990999999989,5.4887806334308005,52.91968871544206,47.08031128455794,56.80353654713502,56.80353654713502,51.206595410426345,51.206595410426345,67.99741882055235,67.99741882055235,134.51977438606133,139.3070221392266,-4.787247753165275,-4.364896963662065,-0.8447015790064203
2015-03-27,131.0,134.449997,130.050003,133.949997,130.701401,5241353,132.47,8342.150391,2056.149902,17678.230469,4863.359863000001,1.4499969999999962,4.399993999999992,39.36741487167016,158.46,118.65,138.55500029999996,150.76874999999998,137.21675433344265,0,0,0,0,0,0,0,0,0.033963591597239606,-0.022113918778099984,-0.00237750024672001,-0.0022749389132298292,-0.002698677939601546,1.0,-1.54,2015-03-27,138.68816867762632,Friday,0,129.550003,4.899993999999992,5.4467244453285995,20.802955911330006,71.49993999999992,61.702337698089984,61.702337698089984,54.70517617298089,54.70517617298089,75.69666074830816,75.69666074830816,134.43211632666728,138.91020546224684,-4.478089135579552,-4.3875353980455625,-0.18110747506797864
